year,state,age,total_marriages,marriage_rate,actual_population,marriage_rate_per_1000_population
2021,Melaka,65+,84,8.1,65100,1.290322581
2018,Sarawak,< 20,2309,5.3,910400,2.536247803
2022,Melaka,all,13832,49.8,1008600,13.71405909
2018,Sarawak,20-24,8603,111.1,285900,30.09094089
2022,Melaka,< 20,187,1.3,329700,0.567182287
2018,Sarawak,25-29,10739,193.9,278200,38.60172538
2022,Melaka,20-24,2859,75.8,92100,31.04234528
2018,Sarawak,30-34,4982,199.9,223500,22.29082774
2022,Melaka,25-29,5892,232,86800,67.88018433
2018,Sarawak,35-39,1983,139.1,189200,10.48097252
2022,Melaka,30-34,2434,235.3,103600,23.49420849
2018,Sarawak,40-44,1003,108.1,164400,6.100973236
2022,Melaka,35-39,1067,180.4,74300,14.36069987
2018,Sarawak,45-49,565,77.2,160200,3.526841448
2022,Melaka,40-44,508,146.5,79400,6.397984887
2018,Sarawak,50-54,300,46.5,146600,2.04638472
2022,Melaka,45-49,334,114.8,57500,5.808695652
2018,Sarawak,55-59,155,27.1,127700,1.213782302
2022,Melaka,50-54,210,69.1,41000,5.12195122
2018,Sarawak,60-64,108,16.9,103300,1.045498548
2022,Melaka,55-59,149,44.6,39400,3.781725888
2018,Sarawak,65+,31,1.5,202200,0.153313551
2022,Melaka,60-64,94,29.5,37800,2.486772487
2018,Sarawak,all,30778,44,2791700,11.02482358
2022,Melaka,65+,98,9.1,66900,1.464872945
2018,Selangor,< 20,1211,1.3,1982900,0.61072167
2018,Selangor,20-24,14232,73.3,560900,25.37350686
2018,Selangor,25-29,31297,218.2,675400,46.33846609
2018,Selangor,30-34,14779,180.8,719000,20.55493741
2018,Selangor,35-39,5833,131.7,601500,9.697423109
2018,Selangor,40-44,2782,112.2,452900,6.142636344
2018,Selangor,45-49,1526,86.4,382400,3.990585774
2018,Selangor,50-54,955,61.8,319800,2.986241401
2018,Selangor,55-59,537,39.6,261500,2.053537285
2018,Selangor,60-64,290,22.3,195000,1.487179487
2018,Selangor,65+,289,8.6,323700,0.892801977
2018,Selangor,all,73731,45.5,6475000,11.38702703
2018,Terengganu,< 20,682,2.8,493700,1.381405712
2018,Terengganu,20-24,5759,121.1,125700,45.81543357
2018,Terengganu,25-29,9571,353,118500,80.76793249
2018,Terengganu,30-34,2926,267.9,92100,31.76981542
2018,Terengganu,35-39,1086,209.1,69200,15.69364162
2018,Terengganu,40-44,559,161.9,59700,9.363484087
